Car_Sales_Rate,Warm_Season,Interest
-0.65487,0,1.8815
1.34901,0,1.975263158
0.29199,0,2.042727273
0.48072,1,1.935
0.59702,1,2.1975
0.12727,1,2.363636364
-0.26893,1,2.324545455
-0.52523,1,2.167142857
-0.49968,1,2.172857143
-0.78412,0,2.07
-1.05672,0,2.263157895
-0.61788,0,2.242727273
0.47445,0,2.085263158
-0.45562,0,1.7795
-0.22225,0,1.889090909
1.2641,1,1.805238095
0.64685,1,1.806190476
-1.04428,1,1.644090909
-1.01604,1,1.504
-0.32596,1,1.556521739
1.43414,1,1.63047619
-1.81842,0,1.7645
-1.77646,0,2.142
-0.37007,0,2.491904762
-0.10828,0,2.4325
-0.98416,0,2.418947368
-0.71338,0,2.48173913
1.31361,1,2.297368421
0.95568,1,2.303636364
-0.94449,1,2.186818182
-0.88286,1,2.318
-0.13379,1,2.209130435
1.38241,1,2.202
-1.00947,0,2.36
-0.73783,0,2.253333333
0.64991,0,2.4025
0.25485,0,2.583809524
-0.46652,0,2.858947368
-0.25032,0,2.742380952
0.00946,1,2.869047619
0.16655,1,2.877727273
0.08205,1,2.912380952
0.61305,1,2.889047619
0.2769,1,2.889130435
-1.44259,1,3.004210526
0.89489,0,3.052272727
1.11572,0,3.077
-0.00856,0,2.832631579
0.46253,0,2.713809524
-0.98617,0,2.676315789
-0.9106,0,2.570952381
0.34615,1,2.532380952
-0.33702,1,2.395
1.05068,1,2.074
0.83625,1,2.059090909
0.87337,1,1.626363636
-0.93337,1,1.6995
-0.25833,0,1.606818182
